"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"JV/24-25/002","2025-01-02","IDR 300,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/003","2025-01-02","IDR 7,366,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/004","2025-01-13","IDR 8,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/005","2025-01-14","IDR 7,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/006","2025-01-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/007","2025-01-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/011","2025-02-03","IDR 3,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/009","2025-02-03","IDR 8,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/010","2025-02-03","IDR 3,800,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/012","2025-02-17","IDR 36,396,397.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/015","2025-02-21","IDR 558,394.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/014","2025-02-21","IDR 385,800.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/017","2025-02-26","IDR 11,935,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/019","2025-02-28","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/018","2025-02-28","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/023","2025-03-03","IDR 3,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/022","2025-03-03","IDR 3,800,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/021","2025-03-03","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/024","2025-03-05","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
